inst,elapsed,alg,lb,ub,blb
mp/LUTZ2.IN2_TS0.75_EJ3,13.123643687,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.75_EJ4,1.424538677,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.75_EJ5,1.110367184,S_hoffmann/cbfs,48,48,48
mp/LUTZ2.IN2_TS0.75_EJ6,10.104607311,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.75_EJ7,1.479683888,S_hoffmann/cbfs,29,29,29
mp/LUTZ2.IN2_TS0.75_EJ8,18.019788633,S_hoffmann/cbfs,25,25,25
mp/LUTZ2.IN2_TS0.75_EJ9,1.135069431,S_hoffmann/cbfs,44,44,44
mp/LUTZ2.IN2_TS0.75-med_EJ1,12.101574262,S_hoffmann/cbfs,37,37,37
mp/LUTZ2.IN2_TS0.75-med_EJ10,4.136855568,S_hoffmann/cbfs,41,41,41
mp/LUTZ2.IN2_TS0.75-med_EJ2,60.054257204,S_hoffmann/cbfs,31,31,31
mp/LUTZ2.IN2_TS0.75-med_EJ3,1.612983828,S_hoffmann/cbfs,58,58,58
