set,alpha,inst,lms1sbbf,lms1sbbf.t,lms1dw,lms1dw.t,n,lm1,lms1,lm2,lm3,lm4,opt,lmb
SBF2,0.75,heskia_c=342,3,0.033893765,3,0.010560896,28,3,3,0,0,3,3,3
SBF2,0.75,jackson_c=10,5,0.003271421,5,9.6825e-4,11,5,5,5,4,5,5,5
SBF2,0.75,jackson_c=13,4,0.002697711,4,0.001157597,11,4,4,1,3,4,4,4
SBF2,0.75,jackson_c=14,4,0.002906966,4,0.001384321,11,4,4,1,3,4,4,4
SBF2,0.75,jackson_c=21,3,0.002636812,3,8.35988e-4,11,3,3,0,1,3,3,3
SBF2,0.75,jackson_c=7,8,0.002277764,8,7.1846e-4,11,8,8,7,8,8,8,8
SBF2,0.75,jackson_c=9,6,0.003063136,6,8.99192e-4,11,6,6,6,5,6,6,6
SBF2,0.75,jaeschke_c=10,4,0.001675106,4,5.81478e-4,9,4,4,3,4,4,4,4
SBF2,0.75,jaeschke_c=18,3,0.001736165,3,8.1781e-4,9,3,3,0,1,3,3,3
SBF2,0.75,jaeschke_c=6,8,0.001432952,8,5.51068e-4,9,8,8,8,8,8,8,8
SBF2,0.75,jaeschke_c=7,7,0.001620566,7,6.69888e-4,9,6,6,7,6,6,7,7
SBF2,0.75,jaeschke_c=8,6,0.002176622,6,5.67177e-4,9,5,5,6,5,6,6,6
SBF2,0.75,kilbrid_c=110,6,0.057659129,6,0.02251552,45,6,6,1,1,6,6,6
SBF2,0.75,kilbrid_c=111,5,0.090091835,5,0.016318524,45,5,5,0,1,5,5,5
SBF2,0.75,kilbrid_c=138,4,0.077070253,4,0.037894247,45,4,4,0,1,4,4,4
SBF2,0.75,kilbrid_c=184,3,0.04381863,3,0.043293107,45,3,3,0,0,3,3,3
SBF2,0.75,kilbrid_c=56,10,0.231446129,10,0.016337645,45,10,10,2,6,10,10,10
SBF2,0.75,kilbrid_c=57,10,0.121963478,10,0.014062486,45,10,10,2,6,10,10,10
SBF2,0.75,kilbrid_c=62,9,0.208875986,9,0.013937277,45,9,9,1,4,9,9,9
SBF2,0.75,kilbrid_c=69,8,0.222803114,8,0.012864936,45,8,8,1,3,8,8,8
SBF2,0.75,kilbrid_c=79,7,0.187650512,7,0.022844458,45,7,7,1,2,7,7,7
SBF2,0.75,kilbrid_c=92,6,0.155123213,6,0.027820127,45,6,6,1,1,6,6,6
SBF2,0.75,lutz1_c=1414,11,0.01157052,11,0.002773714,32,11,11,2,6,11,11,11
SBF2,0.75,lutz1_c=1572,10,0.011353583,10,0.003256466,32,10,10,2,5,10,10,10
SBF2,0.75,lutz1_c=1768,9,0.008101264,9,0.004361633,32,9,9,1,4,9,9,9
SBF2,0.75,lutz1_c=2020,8,0.016743766,8,0.004279598,32,8,8,1,3,8,8,8
SBF2,0.75,lutz1_c=2357,7,0.013726964,7,0.003229107,32,7,7,1,1,7,7,7
SBF2,0.75,lutz1_c=2828,6,0.008029942,6,0.005091237,32,6,6,0,1,6,6,6
SBF2,0.75,lutz2_c=11,47,1.5632869,49,0.010844978,89,47,47,44,45,47,49,49
SBF2,0.75,lutz2_c=12,42,1.875257859,44,0.012477861,89,42,42,40,41,42,44,44
SBF2,0.75,lutz2_c=13,39,2.226188996,40,0.016061363,89,39,39,35,36,39,40,40
SBF2,0.75,lutz2_c=14,36,1.579669847,37,0.020291866,89,36,36,31,32,36,37,37
SBF2,0.75,lutz2_c=15,33,1.898134767,34,0.026023742,89,33,33,26,27,33,34,34
SBF2,0.75,lutz2_c=16,31,1.29493944,31,0.028676075,89,31,31,22,23,31,31,31
SBF2,0.75,lutz2_c=17,29,1.115659701,29,0.030601324,89,29,29,17,22,29,29,29
SBF2,0.75,lutz2_c=18,27,1.583964351,28,0.035646428,89,27,27,13,21,27,28,28
SBF2,0.75,lutz2_c=19,26,1.150137031,26,0.026601754,89,26,26,8,18,26,26,26
SBF2,0.75,lutz2_c=20,25,1.052580082,25,0.031805368,89,25,25,4,18,25,25,25
SBF2,0.75,lutz2_c=21,24,0.953577565,24,0.035621441,89,24,24,0,16,24,24,24
SBF2,0.75,lutz3_c=103,17,0.436012802,17,0.147030246,89,16,16,3,5,17,17,17
SBF2,0.75,lutz3_c=110,15,0.356118996,15,0.135295843,89,15,15,3,5,15,15,15
SBF2,0.75,lutz3_c=118,14,0.389705644,14,0.243135187,89,14,14,3,3,14,14,14
SBF2,0.75,lutz3_c=127,13,0.301358293,14,0.201431726,89,13,13,2,2,13,14,14
SBF2,0.75,lutz3_c=137,13,0.443024845,13,0.135087562,89,13,13,1,2,13,13,13
SBF2,0.75,lutz3_c=150,11,0.306333778,12,0.397632316,89,11,11,0,2,11,12,12
SBF2,0.75,lutz3_c=75,22,0.667249977,23,0.086006151,89,22,22,8,12,23,23,23
SBF2,0.75,lutz3_c=79,21,0.540520053,22,0.119212575,89,21,21,5,11,21,22,22
SBF2,0.75,lutz3_c=83,20,0.60528898,21,0.070151992,89,20,20,5,10,20,21,21
SBF2,0.75,lutz3_c=87,20,0.472783534,20,0.067912902,89,19,19,4,9,20,20,20
SBF2,0.75,lutz3_c=92,18,0.315666369,19,0.095437866,89,18,18,4,8,18,19,19
SBF2,0.75,lutz3_c=97,17,0.628363627,18,0.097244517,89,17,17,3,6,17,18,18
SBF2,0.75,mansoor_c=48,4,0.001815689,4,7.8916e-4,11,4,4,3,3,4,4,4
SBF2,0.75,mansoor_c=62,3,0.002054519,3,7.26353e-4,11,3,3,3,2,3,3,3
SBF2,0.75,mansoor_c=94,2,0.002051589,2,5.5852e-4,11,2,2,0,2,2,2,2
SBF2,0.75,mertens_c=10,3,0.002013284,3,9.44979e-4,7,3,3,3,3,3,3,3
SBF2,0.75,mertens_c=15,2,0.00119999,2,5.34804e-4,7,2,2,0,2,2,2,2
SBF2,0.75,mertens_c=18,2,0.001273766,2,5.38718e-4,7,2,2,0,1,2,2,2
SBF2,0.75,mertens_c=6,6,0.00119824,6,5.22652e-4,7,6,6,6,6,6,6,6
SBF2,0.75,mertens_c=7,5,0.001093536,5,5.32114e-4,7,5,5,5,5,5,5,5
SBF2,0.75,mertens_c=8,5,0.001552837,5,6.00383e-4,7,5,5,5,4,5,5,5
SBF2,0.75,mitchell_c=14,8,0.005594513,8,0.001666357,21,8,8,5,6,8,8,8
SBF2,0.75,mitchell_c=15,8,0.004967601,8,0.002464167,21,8,8,4,6,8,8,8
SBF2,0.75,mitchell_c=21,5,0.00330795,5,7.55507e-4,21,5,5,1,3,5,5,5
SBF2,0.75,mitchell_c=26,5,0.00530651,5,0.001352921,21,5,5,1,2,5,5,5
SBF2,0.75,mitchell_c=35,3,0.003225194,3,8.97781e-4,21,3,3,0,1,3,3,3
SBF2,0.75,mitchell_c=39,3,0.003982431,3,9.27676e-4,21,3,3,0,1,3,3,3
SBF2,0.75,mukherje_c=176,25,18.275594492,25,0.928336088,94,25,25,10,15,25,25,25
SBF2,0.75,mukherje_c=183,24,16.468886188,24,1.188435283,94,24,24,10,15,24,24,24
SBF2,0.75,mukherje_c=192,23,16.266980557,23,2.804918916,94,22,22,8,12,23,23,23
SBF2,0.75,mukherje_c=201,22,13.809940107,22,4.1059786,94,21,21,8,11,22,22,22
SBF2,0.75,mukherje_c=211,21,10.812705524,21,3.534693355,94,20,20,7,10,21,21,21
SBF2,0.75,mukherje_c=222,20,8.738118159,20,91.446315072,94,19,19,7,9,20,20,20
SBF2,0.75,mukherje_c=234,19,6.933537013,19,5.433147761,94,18,18,4,7,19,19,19
SBF2,0.75,mukherje_c=248,18,7.312386998,18,6.643204733,94,17,17,3,6,18,18,18
SBF2,0.75,mukherje_c=263,17,5.781517204,17,38.714516108,94,16,16,3,5,17,17,17
SBF2,0.75,mukherje_c=281,16,4.421803899,16,4.126878854,94,15,15,3,5,16,16,16
SBF2,0.75,mukherje_c=301,15,3.466603383,15,22.075875132,94,14,14,2,4,15,15,15
SBF2,0.75,mukherje_c=324,14,3.307573255,14,12.726311394,94,13,13,1,4,14,14,14
SBF2,0.75,mukherje_c=351,13,2.686596299,13,44.082248876,94,12,12,0,2,13,13,13
SBF2,0.75,roszieg_c=14,10,0.011068981,10,0.002156234,25,9,9,6,7,10,10,10
SBF2,0.75,roszieg_c=16,8,0.008191489,8,0.001684185,25,8,8,4,4,8,8,8
SBF2,0.75,roszieg_c=18,8,0.011084252,8,0.003118227,25,7,7,2,4,8,8,8
SBF2,0.75,roszieg_c=21,6,0.006146738,6,0.002993169,25,6,6,1,4,6,6,6
SBF2,0.75,roszieg_c=25,6,0.012444441,6,0.003247883,25,5,5,1,2,6,6,6
SBF2,0.75,roszieg_c=32,4,0.004840804,4,0.001007134,25,4,4,0,1,4,4,4
SBF2,0.75,sawyer30_c=25,13,0.089812165,14,0.00343659,30,13,13,12,12,13,14,14
SBF2,0.75,sawyer30_c=27,13,0.062820632,13,0.004184082,30,13,13,12,11,13,13,13
SBF2,0.75,sawyer30_c=30,11,0.063051026,12,0.004367768,30,11,11,8,9,11,12,12
SBF2,0.75,sawyer30_c=36,9,0.067223245,10,0.007785366,30,9,9,4,7,9,10,10
SBF2,0.75,sawyer30_c=41,8,0.050006705,8,0.003765012,30,8,8,2,6,8,8,8
SBF2,0.75,sawyer30_c=54,6,0.040360288,7,0.009395346,30,6,6,0,2,6,7,7
SBF2,0.75,sawyer30_c=75,5,0.029345106,5,0.005622224,30,5,5,0,1,5,5,5
SBF2,0.75,tonge70_c=364,10,0.207879903,10,0.058561712,70,10,10,0,3,10,10,10
SBF2,0.75,tonge70_c=410,9,0.242865981,9,0.091636244,70,9,9,0,2,9,9,9
SBF2,0.75,tonge70_c=468,8,0.172763038,8,0.065826285,70,8,8,0,1,8,8,8
SBF2,0.75,tonge70_c=527,7,0.122527012,7,0.044483751,70,7,7,0,0,7,7,7
SBF2,0.75,warnecke_c=104,15,0.598062509,15,0.028120368,58,15,15,3,9,15,15,15
SBF2,0.75,warnecke_c=111,14,0.409632586,14,0.033252455,58,14,14,0,8,14,14,14
SBF2,0.75,warnecke_c=54,30,0.57158091,31,0.008132511,58,30,30,26,26,30,31,31
SBF2,0.75,warnecke_c=56,29,0.662119312,29,0.009310488,58,29,29,26,24,29,29,29
SBF2,0.75,warnecke_c=58,28,0.680829885,29,0.010586103,58,28,28,25,24,28,29,29
SBF2,0.75,warnecke_c=60,27,0.680361096,27,0.011629105,58,27,27,24,24,27,27,27
SBF2,0.75,warnecke_c=62,26,0.55137537700000006,27,0.007623199,58,26,26,24,24,26,27,27
SBF2,0.75,warnecke_c=65,24,0.657808232,25,0.012148407,58,24,24,24,23,24,25,25
SBF2,0.75,warnecke_c=68,23,0.747103962,24,0.007227692,58,23,23,19,21,23,24,24
SBF2,0.75,warnecke_c=71,22,0.691587366,23,0.013884537,58,22,22,16,18,22,23,23
SBF2,0.75,warnecke_c=74,21,0.864671448,22,0.014826866,58,21,21,14,17,21,22,22
SBF2,0.75,warnecke_c=78,20,0.964895498,21,0.019008917,58,20,20,13,15,20,21,21
SBF2,0.75,warnecke_c=82,19,0.702470231,20,0.016171132,58,19,19,13,13,19,20,20
SBF2,0.75,warnecke_c=86,18,1.136669459,19,0.014103738,58,18,18,11,13,18,19,19
SBF2,0.75,warnecke_c=92,17,0.634839511,17,0.019131037,58,17,17,7,12,17,17,17
SBF2,0.75,warnecke_c=97,16,0.582464915,17,0.021392876,58,16,16,6,12,16,17,17
SBF2,0.75,wee-mag_c=28,56,3.150014239,63,0.00329205,75,56,56,61,63,56,63,63
SBF2,0.75,wee-mag_c=29,54,5.959977497,63,0.003966728,75,54,54,61,63,54,63,63
SBF2,0.75,wee-mag_c=30,52,7.72827517,62,0.003513951,75,52,52,61,62,52,62,62
SBF2,0.75,wee-mag_c=31,50,9.419110713,62,0.004319326,75,50,50,60,62,50,62,62
SBF2,0.75,wee-mag_c=32,48,12.026519948,61,0.003722455,75,48,48,60,57,48,61,61
SBF2,0.75,wee-mag_c=33,49,47.421366807,61,0.003640502,75,46,46,60,51,46,61,61
SBF2,0.75,wee-mag_c=34,48,114.219758431,61,0.003966027,75,45,45,60,47,45,61,61
SBF2,0.75,wee-mag_c=35,46,91.485090535,60,0.004183833,75,43,43,60,43,43,60,60
SBF2,0.75,wee-mag_c=36,46,179.283269882,60,0.004227145,75,42,42,60,41,42,60,60
SBF2,0.75,wee-mag_c=37,45,108.394386057,60,0.003920534,75,41,41,60,40,41,60,60
SBF2,0.75,wee-mag_c=38,45,106.936104726,60,0.004093676,75,40,40,60,35,40,60,60
SBF2,0.75,wee-mag_c=39,45,114.112822976,60,0.004190361,75,39,39,60,33,39,60,60
SBF2,0.75,wee-mag_c=40,46,103.459585232,60,0.004442192,75,38,38,60,32,38,60,60
SBF2,0.75,wee-mag_c=41,44,86.92356202,59,0.004110705,75,37,37,59,31,37,59,59
SBF2,0.75,wee-mag_c=42,37,58.909930306,55,0.00507811,75,36,36,55,31,36,55,55
SBF2,0.75,wee-mag_c=43,36,42.257949565,50,0.005560062,75,35,35,50,31,36,50,50
SBF2,0.75,wee-mag_c=45,34,25.565809075,38,0.010976899,75,34,34,31,31,34,38,38
SBF2,0.75,wee-mag_c=46,33,24.948129251,34,0.015184114,75,33,33,27,30,33,34,34
SBF2,0.75,wee-mag_c=47,32,23.548014827,33,0.036557684,75,32,32,23,30,32,33,33
SBF2,0.75,wee-mag_c=49,31,24.519792401,32,0.033564248,75,31,31,17,30,31,32,32
SBF2,0.75,wee-mag_c=50,31,39.215470358,32,0.019645299,75,30,30,13,30,30,32,32
SBF2,0.75,wee-mag_c=52,29,29.555076668,31,0.018271184,75,29,29,5,30,29,31,31
SBF2,0.75,wee-mag_c=54,28,26.827533963,31,0.01649004,75,28,28,1,30,28,31,31
SBF2,0.75,wee-mag_c=56,27,23.532271553,30,0.016019261,75,27,27,0,30,27,30,30
SBF2,1.00,Arc111_c=10027,16,34.426388491,16,477.98822732,111,15,15,4,7,15,16,16
SBF2,1.00,Arc111_c=10743,14,32.433071969,14,599.969476841,111,14,14,2,4,14,15,14
SBF2,1.00,Arc111_c=11570,13,18.379691866,13,324.400420514,111,13,13,0,4,13,13,13
SBF2,1.00,Arc111_c=17067,9,8.015339883,9,74.083503348,111,9,9,0,1,9,9,9
SBF2,1.00,Arc111_c=5785,27,118.807191229,27,365.740789366,111,26,26,17,21,27,27,27
SBF2,1.00,Arc111_c=6016,26,43.853426717,26,50.50692003,111,26,26,15,18,26,26,26
SBF2,1.00,Arc111_c=6267,25,125.216609279,25,144.274628067,111,24,24,14,17,25,25,25
SBF2,1.00,Arc111_c=6540,24,111.64271277,24,106.886461833,111,23,23,13,17,24,24,24
SBF2,1.00,Arc111_c=6837,23,78.324187811,23,171.092190473,111,22,22,12,15,23,23,23
SBF2,1.00,Arc111_c=7162,22,39.802481242,22,303.064868022,111,22,22,8,13,22,22,22
SBF2,1.00,Arc111_c=7520,20,47.223394132,21,494.900941077,111,20,20,8,13,20,21,21
SBF2,1.00,Arc111_c=7916,20,23.704780275,19,599.966391512,111,19,19,8,12,19,20,20
SBF2,1.00,Arc111_c=8356,19,71.436104641,19,353.508345644,111,18,18,5,10,18,19,19
SBF2,1.00,Arc111_c=9400,16,27.871009158,16,599.971176573,111,16,16,5,7,16,17,16
SBF2,1.00,Arc83_c=3786,21,2.621727252,21,0.144681105,83,21,21,5,9,21,21,21
SBF2,1.00,Arc83_c=3985,20,2.352657268,20,0.128394156,83,20,20,5,6,20,20,20
SBF2,1.00,Arc83_c=4206,19,1.914624698,19,0.162233503,83,19,19,4,6,19,19,19
SBF2,1.00,Arc83_c=4454,18,4.894193754,18,0.126050948,83,17,17,4,6,18,18,18
SBF2,1.00,Arc83_c=4732,17,1.771770519,17,0.151329187,83,17,17,3,6,17,17,17
SBF2,1.00,Arc83_c=5048,16,3.673505258,16,0.29079627,83,15,15,3,5,16,16,16
SBF2,1.00,Arc83_c=5408,15,1.405926838,15,0.453392407,83,15,15,2,4,15,15,15
SBF2,1.00,Arc83_c=5824,14,1.322044668,14,0.28323682,83,14,14,1,3,14,14,14
SBF2,1.00,Arc83_c=6309,13,0.969524368,13,0.554212883,83,13,13,1,2,13,13,13
SBF2,1.00,Arc83_c=6883,12,0.851993595,12,0.23333834,83,12,12,1,2,12,12,12
SBF2,1.00,Arc83_c=7571,11,1.034074503,11,0.941658708,83,11,11,0,2,11,11,11
SBF2,1.00,Sawyer30_c=33,10,0.075113899,11,0.007004352,30,10,10,5,7,10,11,11
SBF2,1.00,Sawyer30_c=47,7,0.065301575,7,0.005447688,30,7,7,1,4,7,7,7
SBF2,1.00,Tonge70_c=160,23,1.359967674,23,0.080601332,70,23,23,14,16,23,23,23
SBF2,1.00,Tonge70_c=168,21,1.076591199,22,0.075951978,70,21,21,13,15,21,22,22
SBF2,1.00,Tonge70_c=176,20,1.120537968,21,0.086175895,70,20,20,12,15,20,21,21
SBF2,1.00,Tonge70_c=185,19,0.994088226,20,0.086373169,70,19,19,9,14,19,20,20
SBF2,1.00,Tonge70_c=195,18,1.18430838,19,0.12651278,70,18,18,8,13,18,19,19
SBF2,1.00,Tonge70_c=207,17,0.927197491,18,0.12122996,70,17,17,7,11,17,18,18
SBF2,1.00,Tonge70_c=220,16,0.795384955,17,0.180724477,70,16,16,7,9,16,17,17
SBF2,1.00,Tonge70_c=234,15,0.903588407,16,0.219950227,70,15,15,7,8,15,16,16
SBF2,1.00,Tonge70_c=251,14,0.731719041,14,0.299846703,70,14,14,6,7,14,14,14
SBF2,1.00,Tonge70_c=270,13,0.485821915,14,1.209401592,70,13,13,4,5,13,14,14
SBF2,1.00,Tonge70_c=293,12,0.428087628,13,0.970707315,70,12,12,2,4,12,13,13
SBF2,1.00,Tonge70_c=320,11,0.420264889,11,0.166198209,70,11,11,0,4,11,11,11
SBF2,1.00,arc111_c=11378,14,14.678928165,13,599.966959495,111,14,14,1,4,14,14,14
SBF2,1.00,arc111_c=5755,27,40.710521593,27,187.870752364,111,27,27,18,21,27,27,27
SBF2,1.00,arc111_c=8847,18,82.46727336,17,599.969457996,111,17,17,5,9,17,18,18
SBF2,1.00,arc83_c=10816,8,1.034882459,8,198.210523471,83,7,7,0,1,7,8,8
SBF2,1.00,arc83_c=5853,14,1.194345766,14,1.077018886,83,13,13,1,3,14,14,14
SBF2,1.00,arc83_c=6842,12,1.358690505,12,0.1999579,83,12,12,1,2,12,12,12
SBF2,1.00,arc83_c=8412,10,0.802145419,10,4.141726196,83,10,10,0,1,10,10,10
SBF2,1.00,arc83_c=8898,9,0.568026626,9,0.122951204,83,9,9,0,1,9,9,9
SBF2,1.00,barthol2_c=112,38,461.770680761,38,4.742911187,148,38,38,13,23,38,38,38
SBF2,1.00,barthol2_c=115,37,532.067044528,37,3.933476555,148,37,37,13,23,37,37,37
SBF2,1.00,barthol2_c=125,34,525.484081766,34,2.728118782,148,34,34,11,16,34,34,34
SBF2,1.00,barthol2_c=129,33,437.172299011,33,4.587297226,148,33,33,8,15,33,33,33
SBF2,1.00,barthol2_c=133,32,478.106925677,32,4.72153659,148,32,32,7,15,32,32,32
SBF2,1.00,barthol2_c=137,31,472.999001921,31,4.824861209,148,31,31,7,15,31,31,31
SBF2,1.00,barthol2_c=142,30,447.31559745,30,3.289742772,148,30,30,6,11,30,30,30
SBF2,1.00,barthol2_c=146,29,465.925544626,29,16.354664028,148,29,29,6,10,29,29,29
SBF2,1.00,barthol2_c=152,28,407.95491942,28,6.764453669,148,28,28,6,10,28,28,28
SBF2,1.00,barthol2_c=157,27,449.150912856,27,33.207065025,148,27,27,4,9,27,27,27
SBF2,1.00,barthol2_c=163,26,463.154082542,26,11.767016782,148,26,26,1,8,26,26,26
SBF2,1.00,barthol2_c=170,25,418.428630205,25,10.822191476,148,25,25,0,7,25,25,25
SBF2,1.00,barthol2_c=91,47,597.065338443,47,1.161540497,148,47,47,29,35,47,47,47
SBF2,1.00,barthold_c=403,14,425.967619592,14,599.928940095,148,14,14,2,5,14,14,14
SBF2,1.00,barthold_c=434,13,193.94602754,13,53.580051163,148,13,13,2,4,13,13,13
SBF2,1.00,barthold_c=470,12,263.315740383,12,151.92751223,148,12,12,2,3,12,12,12
SBF2,1.00,barthold_c=513,11,185.679340442,11,599.932709064,148,11,11,2,2,11,11,11
SBF2,1.00,barthold_c=564,10,170.878514724,10,416.058475147,148,10,10,1,2,10,10,10
SBF2,1.00,barthold_c=626,9,135.550423065,9,26.485542647,148,9,9,1,1,9,9,9
SBF2,1.00,barthold_c=705,8,94.248608195,8,127.873028484,148,8,8,1,1,8,8,8
SBF2,1.00,barthold_c=805,7,73.875876514,7,353.740386573,148,7,7,0,1,7,7,7
SBF2,1.00,bowman8_c=20,5,0.00175144,5,6.25134e-4,8,5,5,4,4,5,5,5
SBF2,1.00,buxey_c=27,13,0.041436305,13,0.0041413,29,13,13,12,12,13,13,13
SBF2,1.00,buxey_c=30,11,0.046678262,12,0.003577465,29,11,11,8,9,11,12,12
SBF2,1.00,buxey_c=33,10,0.05319785,11,0.004343804,29,10,10,5,7,11,11,11
SBF2,1.00,buxey_c=36,10,0.053618727,10,0.005076652,29,9,9,4,7,9,10,10
SBF2,1.00,buxey_c=41,8,0.035814937,8,0.004281639,29,8,8,2,6,8,8,8
SBF2,1.00,buxey_c=47,7,0.043046562,7,0.005067791,29,7,7,1,4,7,7,7
SBF2,1.00,buxey_c=54,7,0.052710992,7,0.007767828,29,6,6,0,2,6,7,7
SBF2,1.00,gunther_c=41,13,0.076844486,14,0.003307421,35,12,12,12,12,13,14,14
SBF2,1.00,gunther_c=44,11,0.065257209,12,0.004536239,35,11,11,11,10,11,12,12
SBF2,1.00,gunther_c=49,10,0.049919095,11,0.004455435,35,10,10,7,8,10,11,11
SBF2,1.00,gunther_c=54,9,0.041211438,9,0.005513824,35,9,9,7,8,9,9,9
SBF2,1.00,gunther_c=61,8,0.04050206,9,0.002486626,35,8,8,2,6,8,9,9
SBF2,1.00,gunther_c=69,8,0.03808536,8,0.005923043,35,7,7,2,5,8,8,8
SBF2,1.00,gunther_c=81,7,0.050681075,7,0.008129916,35,6,6,0,4,7,7,7
SBF2,1.00,hahn_c=2004,8,0.023033379,8,0.004271969,53,8,8,5,4,8,8,8
SBF2,1.00,hahn_c=2338,7,0.019042639,7,0.015455864,53,7,7,3,3,7,7,7
SBF2,1.00,hahn_c=2806,6,0.021578313,6,0.01163964,53,5,5,2,3,5,6,6
SBF2,1.00,hahn_c=3507,5,0.014993493,5,0.004160552,53,5,5,1,2,5,5,5
SBF2,1.00,hahn_c=4676,4,0.015687946,4,0.005016955,53,4,4,0,1,4,4,4
SBF2,1.00,heskia_c=138,8,0.053288937,8,0.008446943,28,8,8,5,7,8,8,8
SBF2,1.00,heskia_c=205,5,0.073725256,5,0.019472381,28,5,5,2,3,5,5,5
SBF2,1.00,heskia_c=216,5,0.06217747,5,0.005477915,28,5,5,1,2,5,5,5
SBF2,1.00,heskia_c=256,4,0.047267926,4,0.013352484,28,4,4,0,2,4,4,4
SBF2,1.00,heskia_c=324,4,0.023909147,4,0.003194408,28,4,4,0,1,4,4,4
SBF2,1.00,heskia_c=342,3,0.033182504,3,0.009428878,28,3,3,0,0,3,3,3
SBF2,1.00,jackson_c=10,5,0.004089985,5,9.16613e-4,11,5,5,5,4,5,5,5
SBF2,1.00,jackson_c=13,4,0.002604911,4,0.00116001,11,4,4,1,3,4,4,4
SBF2,1.00,jackson_c=14,4,0.002907204,4,0.001069426,11,4,4,1,3,4,4,4
SBF2,1.00,jackson_c=21,3,0.002478504,3,7.56592e-4,11,3,3,0,1,3,3,3
SBF2,1.00,jackson_c=7,8,0.00285102,8,7.25033e-4,11,7,7,7,8,7,8,8
SBF2,1.00,jackson_c=9,6,0.003986799,6,8.63506e-4,11,6,6,6,5,6,6,6
SBF2,1.00,jaeschke_c=10,4,0.001770985,4,5.2886e-4,9,4,4,3,4,4,4,4
SBF2,1.00,jaeschke_c=18,3,0.001715427,3,5.345e-4,9,3,3,0,1,3,3,3
SBF2,1.00,jaeschke_c=6,8,0.00125528,8,5.19334e-4,9,8,8,8,8,8,8,8
SBF2,1.00,jaeschke_c=7,7,0.002291214,7,5.27615e-4,9,6,6,7,6,6,7,7
SBF2,1.00,jaeschke_c=8,6,0.001978159,6,5.37199e-4,9,5,5,6,5,6,6,6
SBF2,1.00,kilbrid_c=110,6,0.063570337,6,0.033863508,45,6,6,1,1,6,6,6
SBF2,1.00,kilbrid_c=111,5,0.097136006,5,0.016217363,45,5,5,0,1,5,5,5
SBF2,1.00,kilbrid_c=138,4,0.12414704,4,0.03316485,45,4,4,0,1,4,4,4
SBF2,1.00,kilbrid_c=184,3,0.043320105,3,0.037280294,45,3,3,0,0,3,3,3
SBF2,1.00,kilbrid_c=56,10,0.255156638,10,0.016272888,45,10,10,2,6,10,10,10
SBF2,1.00,kilbrid_c=57,10,0.134115416,10,0.017973892000000002,45,10,10,2,6,10,10,10
SBF2,1.00,kilbrid_c=62,9,0.218862406,9,0.01278562,45,9,9,1,4,9,9,9
SBF2,1.00,kilbrid_c=69,8,0.20663812,8,0.012833882,45,8,8,1,3,8,8,8
SBF2,1.00,kilbrid_c=79,7,0.211885916,7,0.027714861,45,7,7,1,2,7,7,7
SBF2,1.00,kilbrid_c=92,6,0.167022783,6,0.059960325,45,6,6,1,1,6,6,6
SBF2,1.00,lutz1_c=1414,11,0.010287481,11,0.002799394,32,11,11,2,6,11,11,11
SBF2,1.00,lutz1_c=1572,10,0.008741099,10,0.002818487,32,10,10,2,5,10,10,10
SBF2,1.00,lutz1_c=1768,9,0.019002261,9,0.005152048,32,9,9,1,4,9,9,9
SBF2,1.00,lutz1_c=2020,8,0.010021901,8,0.004940044,32,8,8,1,3,8,8,8
SBF2,1.00,lutz1_c=2357,7,0.009424474,7,0.003739175,32,7,7,1,1,7,7,7
SBF2,1.00,lutz1_c=2828,6,0.007897895,6,0.002881806,32,6,6,0,1,6,6,6
SBF2,1.00,lutz2_c=11,47,1.318257249,49,0.009351557,89,47,47,44,45,47,49,49
SBF2,1.00,lutz2_c=12,42,1.794715463,44,0.013091942,89,42,42,40,41,42,44,44
SBF2,1.00,lutz2_c=13,39,2.115627884,40,0.018052745,89,39,39,35,36,39,40,40
SBF2,1.00,lutz2_c=14,36,1.630165951,37,0.024960007,89,36,36,31,32,36,37,37
SBF2,1.00,lutz2_c=15,33,1.725781616,34,0.025695817,89,33,33,26,27,33,34,34
SBF2,1.00,lutz2_c=16,31,1.512467699,31,0.021278644,89,31,31,22,23,31,31,31
SBF2,1.00,lutz2_c=17,29,1.055861692,29,0.031227204,89,29,29,17,22,29,29,29
SBF2,1.00,lutz2_c=18,27,1.468966183,28,0.030119151,89,27,27,13,21,27,28,28
SBF2,1.00,lutz2_c=19,26,1.048460854,26,0.026202611,89,26,26,8,18,26,26,26
SBF2,1.00,lutz2_c=20,25,1.241319588,25,0.038050439,89,25,25,4,18,25,25,25
SBF2,1.00,lutz2_c=21,24,1.062571695,24,0.043467042,89,24,24,0,16,24,24,24
SBF2,1.00,lutz3_c=103,17,0.947225983,17,0.124914428,89,16,16,3,5,17,17,17
SBF2,1.00,lutz3_c=110,15,0.423936832,15,0.359276755,89,15,15,3,5,15,15,15
SBF2,1.00,lutz3_c=118,14,0.540666835,14,0.124225702,89,14,14,3,3,14,14,14
SBF2,1.00,lutz3_c=127,13,0.28712887,14,0.273850069,89,13,13,2,2,13,14,14
SBF2,1.00,lutz3_c=137,13,0.421983517,13,0.120575198,89,13,13,1,2,13,13,13
SBF2,1.00,lutz3_c=150,11,0.322884595,12,0.182756114,89,11,11,0,2,11,12,12
SBF2,1.00,lutz3_c=75,22,1.071909118,23,0.119931909,89,22,22,8,12,23,23,23
